2020-04-08 23:46:37.840 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-08 23:46:40.130 [main] INFO  com.momolela.config.MyAppConfig - 通过@Configuration和@Bean注解添加helloWorldService对象到容器中了
2020-04-08 23:46:42.294 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-08 23:46:47.937 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://127.0.0.1:9200]
2020-04-08 23:46:47.940 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2020-04-08 23:46:48.139 [main] INFO  io.searchbox.client.JestClientFactory - Using custom GSON instance
2020-04-08 23:46:48.140 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2020-04-08 23:46:48.140 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2020-04-08 23:46:48.414 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-04-08 23:46:48.704 [main] INFO  com.momolela.MailSenderTests - Started MailSenderTests in 19.152 seconds (JVM running for 22.574)
2020-04-08 23:46:48.707 [main] INFO  c.m.l.s.HelloApplicationRunner - ApplicationRunner...run....
2020-04-08 23:46:48.708 [main] INFO  c.m.l.s.HelloCommandLineRunner - CommandLineRunner...run...[]
2020-04-08 23:46:50.787 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-04-08 23:46:50.790 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-08 23:57:33.650 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-04-08 23:57:33.654 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-08 23:57:35.327 [SpringContextShutdownHook] INFO  com.momolela.listener.servletListener.MyListener - ===========web应用停止了
