2020-04-03 00:18:31.994 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-03 00:18:32.686 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@a8c1f44, started on Thu Jan 01 08:00:00 CST 1970
2020-04-03 00:18:32.697 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-03 00:18:32.706 [main] INFO  com.momolela.SpringBootStart - Starting SpringBootStart on DESKTOP-QMV0PHF with PID 16860 (E:\idea\springboot\target\classes started by Administrator in E:\idea\springboot)
2020-04-03 00:18:32.757 [main] INFO  com.momolela.SpringBootStart - The following profiles are active: dev
2020-04-03 00:18:32.952 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextLoaded...
2020-04-03 00:18:34.300 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-03 00:18:34.303 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-03 00:18:34.409 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 91ms. Found 1 repository interfaces.
2020-04-03 00:18:34.434 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-03 00:18:34.437 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-03 00:18:34.467 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.momolela.repository.ArticleRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
