2020-04-01 23:14:59.383 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-01 23:14:59.721 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2f17e30d, started on Thu Jan 01 08:00:00 CST 1970
2020-04-01 23:14:59.746 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-01 23:14:59.756 [main] INFO  com.momolela.SpringBootStart - Starting SpringBootStart on DESKTOP-QMV0PHF with PID 13440 (E:\idea\springboot\target\classes started by Administrator in E:\idea\springboot)
2020-04-01 23:14:59.784 [main] INFO  com.momolela.SpringBootStart - The following profiles are active: dev
2020-04-01 23:14:59.902 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextLoaded...
2020-04-01 23:15:01.522 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-01 23:15:01.529 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-01 23:15:01.608 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 repository interfaces.
2020-04-01 23:15:02.381 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-01 23:15:03.139 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-04-01 23:15:03.161 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-04-01 23:15:03.162 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-01 23:15:03.163 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-04-01 23:15:03.317 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springboot] - Initializing Spring embedded WebApplicationContext
2020-04-01 23:15:03.318 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3415 ms
2020-04-01 23:15:03.503 [main] INFO  com.momolela.listener.servletListener.MyListener - ===========web应用启动了
2020-04-01 23:15:04.419 [main] INFO  com.momolela.config.MyAppConfig - 通过@Configuration和@Bean注解添加helloWorldService对象到容器中了
2020-04-01 23:15:04.925 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-01 23:15:05.767 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-01 23:15:05.818 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-04-01 23:15:05.825 [main] INFO  com.momolela.listener.servletListener.MyListener - ===========web应用停止了
2020-04-01 23:15:05.929 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-04-01 23:17:43.750 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-01 23:17:44.290 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5f9678e1, started on Thu Jan 01 08:00:00 CST 1970
2020-04-01 23:17:44.298 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-01 23:17:44.382 [main] INFO  com.momolela.SpringBootStart - Starting SpringBootStart on DESKTOP-QMV0PHF with PID 7804 (E:\idea\springboot\target\classes started by Administrator in E:\idea\springboot)
2020-04-01 23:17:44.385 [main] INFO  com.momolela.SpringBootStart - The following profiles are active: dev
